Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,87.048978,-31.934,180.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,77.338,-86.442,90.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,75.311,-101.386,-90.0,top
C4,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,73.934978,-80.646,180.0,top
C5,4.7u,C_0603_1608Metric_Pad1.05x0.95mm,73.934978,-78.948,180.0,top
C6,22p,C_0603_1608Metric_Pad1.05x0.95mm,75.142,-72.827,180.0,top
C7,22p,C_0603_1608Metric_Pad1.05x0.95mm,72.508978,-76.255,-90.0,top
C8,1uF,C_0603_1608Metric_Pad1.05x0.95mm,82.23,-55.863,180.0,top
C9,1uF,C_0603_1608Metric_Pad1.05x0.95mm,82.296978,-61.852,0.0,top
C10,220pF,C_0603_1608Metric_Pad1.05x0.95mm,82.314,-94.986,0.0,top
D1,1N5819,D_SOD-323_HandSoldering,85.497978,-40.513,90.0,top
F1,500mA,Fuse_1206_3216Metric,86.262978,-36.864,180.0,top
G1,~,ecs_housing_graphic,195.087978,-38.7,-90.0,top
G2,~,ecs_housing_graphic,195.087978,-57.7,-90.0,top
G3,~,ecs_housing_graphic,195.087978,-76.7,-90.0,top
G4,~,ecs_housing_graphic,195.087978,-95.7,-90.0,top
G5,~,ecs_housing_graphic,176.087978,-57.7,-90.0,top
G6,~,ecs_housing_graphic,176.087978,-76.7,-90.0,top
G7,~,ecs_housing_graphic,176.087978,-95.7,-90.0,top
G8,~,ecs_housing_graphic,157.087978,-52.95,-90.0,top
G9,~,ecs_housing_graphic,157.087978,-71.95,-90.0,top
G10,~,ecs_housing_graphic,157.087978,-90.95,-90.0,top
G11,~,ecs_housing_graphic,138.087978,-50.575,-90.0,top
G12,~,ecs_housing_graphic,138.087978,-69.575,-90.0,top
G13,~,ecs_housing_graphic,138.087978,-88.575,-90.0,top
G14,~,ecs_housing_graphic,119.087978,-52.95,-90.0,top
G15,~,ecs_housing_graphic,119.087978,-71.95,-90.0,top
G16,~,ecs_housing_graphic,119.087978,-90.95,-90.0,top
G17,~,ecs_housing_graphic,100.087978,-55.325,-90.0,top
G18,~,ecs_housing_graphic,100.087978,-74.325,-90.0,top
G19,~,ecs_housing_graphic,100.087978,-93.325,-90.0,top
G20,~,ecs_housing_graphic,128.587978,-110.575,180.0,top
G21,~,ecs_housing_graphic,107.58817,-113.325351,-75.0,top
G22,~,ecs_housing_graphic_1.5U,85.337979,-117.075543,120.0,top
G23,~,ecs_housing_graphic,176.087978,-38.7,-90.0,top
G24,~,ecs_housing_graphic,157.087978,-33.95,-90.0,top
G25,~,ecs_housing_graphic,138.087978,-31.575,-90.0,top
G26,~,ecs_housing_graphic,119.087978,-33.95,-90.0,top
G27,~,ecs_housing_graphic,100.087978,-36.325,-90.0,top
G28,~,ecs_housing_graphic,147.587978,-110.575,0.0,bottom
H17,~,PinHeader_1x01,83.129978,-33.807,90.0,top
J1,SM04B-SRSS-TB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,73.314978,-58.555,-90.0,top
J2,PJ320D,Jack_3.5mm_PJ320D_Horizontal,78.017978,-42.725,0.0,top
J3,HRO_TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,77.037978,-29.925,180.0,top
J4,FH34SRJ-10S-0.5SH,HRS_FH34SRJ-10S-0.5SH(50),88.200978,-68.307,90.0,top
L1,60R@100MHz,L_1206_3216Metric,86.462978,-34.077,180.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm,79.216978,-37.09,0.0,top
R3,5.1k,R_0603_1608Metric_Pad0.98x0.95mm,74.224978,-37.09,180.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm,87.881978,-40.182,-90.0,top
R5,5.6k,R_0603_1608Metric_Pad0.98x0.95mm,87.902,-43.845,-90.0,top
R6,1k,R_0603_1608Metric_Pad0.98x0.95mm,77.281,-93.684,-90.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm,77.307,-90.021,-90.0,top
RN1,1k R_Array_Concave_4x0603,R_Array_Concave_4x0603,86.921978,-101.09,0.0,top
RN2,1k R_Array_Concave_4x0603,R_Array_Concave_4x0603,79.803978,-104.968,-90.0,top
RN3,100 R_Array_Convex_4x0603,R_Array_Concave_4x0603,88.382,-81.725,180.0,top
SW1,~,ecs_pad_no_ring,195.087978,-38.7,0.0,top
SW2,~,ecs_pad_no_ring,195.087978,-57.7,0.0,top
SW3,~,ecs_pad_no_ring,195.087978,-77.07374,-45.0,top
SW4,~,ecs_pad_no_ring,195.087978,-95.7,45.0,top
SW5,~,ecs_pad_no_ring,176.087978,-57.69965,0.0,top
SW6,~,ecs_pad_no_ring,176.087978,-77.07374,0.0,top
SW7,~,ecs_pad_no_ring,176.087978,-95.7,0.0,top
SW8,~,ecs_pad_no_ring,157.087978,-52.95,0.0,top
SW9,~,ecs_pad_no_ring,157.087978,-71.95,0.0,top
SW10,~,ecs_pad_no_ring,157.087978,-90.95,0.0,top
SW11,~,ecs_pad_no_ring,138.087978,-50.575,0.0,top
SW12,~,ecs_pad_no_ring,138.087978,-69.575,0.0,top
SW13,~,ecs_pad_no_ring,138.087978,-88.575,0.0,top
SW14,~,ecs_pad_no_ring,119.087978,-52.95,0.0,top
SW15,~,ecs_pad_no_ring,119.087978,-71.95,0.0,top
SW16,~,ecs_pad_no_ring,119.087978,-90.95,0.0,top
SW17,~,ecs_pad_no_ring,100.087978,-55.325,0.0,top
SW18,~,ecs_pad_no_ring,100.087978,-74.325,0.0,top
SW19,~,ecs_pad_no_ring,100.087978,-93.325,0.0,top
SW20,~,ecs_pad_no_ring,128.587978,-110.575,-90.0,top
SW21,~,ecs_pad_no_ring,107.587978,-113.325,-90.0,top
SW22,~,ecs_pad_no_ring,85.337978,-117.075,-90.0,top
SW23,~,ecs_pad_no_ring,176.087978,-38.7,0.0,top
SW24,~,ecs_pad_no_ring,157.087978,-33.95,0.0,top
SW25,~,ecs_pad_no_ring,138.087978,-31.575,0.0,top
SW26,~,ecs_pad_no_ring,119.087978,-33.95,0.0,top
SW27,~,ecs_pad_no_ring,100.087978,-36.325,0.0,top
SW28,~,ecs_pad_no_ring,147.587978,-110.575,-90.0,top
SW29,PTS845,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,86.437978,-28.942,180.0,top
TP1,~,PinHeader_1x04_P2.54mm_test_pad,77.022978,-54.745,0.0,top
U1,74HC4051,TSSOP-16_4.4x5mm_P0.65mm,80.256978,-100.23,180.0,top
U2,OPA350UA,SO-8_3.9x4.9mm_P1.27mm,81.128,-90.137,90.0,top
U3,DT1446-04S,SOT-363_SC-70-6_Handsoldering,78.839978,-51.043,0.0,top
U4,XC6220B331MR-G,SOT-23-5,82.300978,-58.872,-90.0,top
U5,STM32G0B1KETx,LQFP-32_7x7mm_P0.8mm,81.230978,-78.872,0.0,top
Y1,32.768kHz ,Crystal_SMD_3215-2Pin_3.2x1.5mm,74.640978,-75.87,90.0,top
